source,opportunity_id,opportunity_number,opportunity_title,agency_name,post_date,close_date,award_floor,award_ceiling,summary_description,opportunity_status,url,matched_keywords,keyword_group
legacy,361468,26JD06,New Jail Planning Initiative,,03/12/2026,03/27/2026,,,,posted,https://www.grants.gov/search-results-detail/361468,Jail,Group 3
legacy,360057,VA-NCA-VLGP-FY2026,Veterans Legacy Grants Program,,02/25/2026,03/27/2026,,,,posted,https://www.grants.gov/search-results-detail/360057,Veterans,Group 3
legacy,361025,CMS-2V2-26-001,Nursing Home Staffing Campaign,,02/09/2026,03/27/2026,,,,posted,https://www.grants.gov/search-results-detail/361025,Nursing,Group 3
legacy,361535,O-BJA-2025-172484,BJA FY25 Veterans Treatment Court Program,,03/18/2026,04/27/2026,,,,posted,https://www.grants.gov/search-results-detail/361535,Veterans,Group 3
legacy,357391,PAS-25-208,HIV Prevention and Alcohol (R01 Clinical Trials Optional),,11/25/2024,05/07/2026,,,,posted,https://www.grants.gov/search-results-detail/357391,HIV,Group 2
legacy,357390,PAS-25-161,HIV Prevention and Alcohol (R34 Clinical Trials Optional),,11/25/2024,05/07/2026,,,,posted,https://www.grants.gov/search-results-detail/357390,HIV,Group 2
legacy,360391,VA-SPORTS-26,Grants for Adaptive Sports Programs for Disabled Veterans and Disabled Members of the Armed Forces,,03/27/2026,05/13/2026,,,,posted,https://www.grants.gov/search-results-detail/360391,Veterans,Group 3
legacy,355177,PAR-24-233,NIMH Research Education Mentoring Program for HIV Researchers (R25 Clinical Trial Not Allowed),,06/27/2024,05/25/2026,,,,posted,https://www.grants.gov/search-results-detail/355177,HIV,Group 2
legacy,361262,VA-NCA-VCGP-2026,Veterans Cemetery Grants,,02/09/2026,07/01/2026,,,,posted,https://www.grants.gov/search-results-detail/361262,Veterans,Group 3
legacy,353590,PAR-24-174,Global Infectious Disease Research Training Program (D43 Clinical Trial Optional),,04/17/2024,08/06/2026,,,,posted,https://www.grants.gov/search-results-detail/353590,infectious,Group 2
legacy,351920,PAR-24-129,Limited Competition: Specific Pathogen Free Macaque Colonies to Support HIV/AIDS Research (U42 Clinical Trial Not Allowed),,01/22/2024,09/25/2026,,,,posted,https://www.grants.gov/search-results-detail/351920,HIV,Group 2
legacy,351847,RFA-DA-25-060,High Priority HIV and Substance Use Research (RM1 Clinical Trial Optional),,01/17/2024,03/05/2027,,,,posted,https://www.grants.gov/search-results-detail/351847,HIV,Group 2
legacy,355867,RFA-DA-25-024,High Priority HIV and Substance Use Research (R01 Clinical Trial Optional),,08/02/2024,03/06/2027,,,,posted,https://www.grants.gov/search-results-detail/355867,HIV,Group 2
legacy,358093,PAR-24-329,"Development and Testing of Novel Interventions to Improve HIV Prevention, Treatment, and Program Implementation for People Who Use Substances (R34 Clinical Trial Required)",,01/08/2025,03/16/2027,,,,posted,https://www.grants.gov/search-results-detail/358093,HIV,Group 2
legacy,343653,W81XWH-22-DHAPP,Department of Defense HIV/AIDS Prevention Program,,09/19/2022,09/18/2027,,,,posted,https://www.grants.gov/search-results-detail/343653,HIV,Group 2
legacy,358082,PAR-25-068,"Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)",,01/08/2025,11/16/2027,,,,posted,https://www.grants.gov/search-results-detail/358082,HIV,Group 2
legacy,358816,PAR-25-439,Community-Partnered Nursing Research Centers (P20 Clinical Trial Optional),,09/17/2025,05/07/2028,,,,posted,https://www.grants.gov/search-results-detail/358816,Nursing,Group 3
legacy,58617,VA-GRANTS-112508-002,State Veterans Home Construction Grant Program,,11/01/2010,,,,,posted,https://www.grants.gov/search-results-detail/58617,Veterans,Group 3
